Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1665756120478,65535,2525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120498,65535,2545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120513,65535,2560,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120518,65535,2565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120523,65535,2570,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120533,65535,2580,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120538,65535,2585,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120543,65535,2590,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120558,65535,2605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120578,65535,2625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120598,65535,2645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120618,65535,2665,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120638,65535,2685,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120658,65535,2705,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120673,65535,2720,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120678,65535,2725,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120683,65535,2730,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120693,65535,2740,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120698,65535,2745,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120703,65535,2750,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120718,65535,2765,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120738,65535,2785,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120758,65535,2805,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120778,65535,2825,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120798,65535,2845,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120818,65535,2865,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120833,65535,2880,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120838,65535,2885,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120843,65535,2890,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120853,65535,2900,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120858,65535,2905,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120863,65535,2910,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120878,65535,2925,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120898,65535,2945,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120918,65535,2965,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120938,65535,2985,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120958,65535,3005,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120978,65535,3025,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756120993,65535,3040,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756120998,65535,3045,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121003,65535,3050,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121013,65535,3060,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121018,65535,3065,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121023,65535,3070,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121038,65535,3085,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121058,65535,3105,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121078,65535,3125,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121098,65535,3145,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121118,65535,3165,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121138,65535,3185,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121153,65535,3200,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121158,65535,3205,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121163,65535,3210,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121173,65535,3220,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121178,65535,3225,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121183,65535,3230,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121198,65535,3245,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121218,65535,3265,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121238,65535,3285,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121258,65535,3305,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121278,65535,3325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121298,65535,3345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121313,65535,3360,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121318,65535,3365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121323,65535,3370,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121333,65535,3380,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121338,65535,3385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121343,65535,3390,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121358,65535,3405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121378,65535,3425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121398,65535,3445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121418,65535,3465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121438,65535,3485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121458,65535,3505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121473,65535,3520,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121478,65535,3525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121483,65535,3530,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121493,65535,3540,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121498,65535,3545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121503,65535,3550,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756121518,65535,3565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756121538,65535,3585,2.0,0.0,0.0,1,2,-2,144,-2,4,3
