Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1665756443408,65535,8005,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443413,65535,8010,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443423,65535,8020,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443428,65535,8025,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443433,65535,8030,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443448,65535,8045,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443468,65535,8065,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443488,65535,8085,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443508,65535,8105,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443528,65535,8125,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443548,65535,8145,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443563,65535,8160,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443568,65535,8165,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443573,65535,8170,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443583,65535,8180,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443588,65535,8185,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443593,65535,8190,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443608,65535,8205,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443628,65535,8225,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443648,65535,8245,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443668,65535,8265,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443688,65535,8285,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443708,65535,8305,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443723,65535,8320,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443728,65535,8325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443733,65535,8330,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443743,65535,8340,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443748,65535,8345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443753,65535,8350,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443768,65535,8365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443788,65535,8385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443808,65535,8405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443828,65535,8425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443848,65535,8445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443868,65535,8465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443883,65535,8480,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443888,65535,8485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443893,65535,8490,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443903,65535,8500,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443908,65535,8505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443913,65535,8510,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756443928,65535,8525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443948,65535,8545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443968,65535,8565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756443988,65535,8585,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444008,65535,8605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444028,65535,8625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444043,65535,8640,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444048,65535,8645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444053,65535,8650,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444063,65535,8660,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444068,65535,8665,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444073,65535,8670,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444088,65535,8685,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444108,65535,8705,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444128,65535,8725,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444148,65535,8745,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444168,65535,8765,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444188,65535,8785,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444203,65535,8800,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444208,65535,8805,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444213,65535,8810,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444223,65535,8820,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444228,65535,8825,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444233,65535,8830,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444248,65535,8845,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444268,65535,8865,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444288,65535,8885,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444308,65535,8905,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444328,65535,8925,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444348,65535,8945,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444363,65535,8960,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444368,65535,8965,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444373,65535,8970,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444383,65535,8980,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444388,65535,8985,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444393,65535,8990,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444408,65535,9005,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444428,65535,9025,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444448,65535,9045,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444468,65535,9065,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444488,65535,9085,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444508,65535,9105,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444523,65535,9120,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444528,65535,9125,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444533,65535,9130,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444543,65535,9140,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444548,65535,9145,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444553,65535,9150,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444568,65535,9165,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444588,65535,9185,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444608,65535,9205,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444628,65535,9225,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444648,65535,9245,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444668,65535,9265,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444683,65535,9280,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444688,65535,9285,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444693,65535,9290,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444703,65535,9300,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444708,65535,9305,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444713,65535,9310,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444728,65535,9325,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444748,65535,9345,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444768,65535,9365,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444788,65535,9385,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444808,65535,9405,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444828,65535,9425,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444843,65535,9440,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444848,65535,9445,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444853,65535,9450,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444863,65535,9460,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444868,65535,9465,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444873,65535,9470,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756444888,65535,9485,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444908,65535,9505,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444928,65535,9525,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444948,65535,9545,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444968,65535,9565,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756444988,65535,9585,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445003,65535,9600,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445008,65535,9605,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445013,65535,9610,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445023,65535,9620,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445028,65535,9625,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445033,65535,9630,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445048,65535,9645,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445068,65535,9665,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445088,65535,9685,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445108,65535,9705,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445128,65535,9725,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445148,65535,9745,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445163,65535,9760,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445168,65535,9765,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445173,65535,9770,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445183,65535,9780,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445188,65535,9785,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445193,65535,9790,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445208,65535,9805,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445228,65535,9825,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445248,65535,9845,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445268,65535,9865,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445288,65535,9885,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445308,65535,9905,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445323,65535,9920,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445328,65535,9925,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445333,65535,9930,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445343,65535,9940,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445348,65535,9945,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445353,65535,9950,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445368,65535,9965,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445388,65535,9985,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445408,65535,10005,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445428,65535,10025,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445448,65535,10045,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445468,65535,10065,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445483,65535,10080,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445488,65535,10085,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445493,65535,10090,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445503,65535,10100,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445508,65535,10105,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445513,65535,10110,2.0,0.0,0.0,1,6,-2,256,-2,6,3
1665756445528,65535,10125,2.0,0.0,0.0,1,2,-2,144,-2,4,3
1665756445548,65535,10145,2.0,0.0,0.0,1,2,-2,144,-2,4,3
